Week by Number,Week Number,Start Date,End Date,Weekly Cases,is_peak,is_Omicron
0,Week 0,2019-12-30,2020-01-05,0.0,0,0
1,Week 1,2020-01-06,2020-01-12,0.0,0,0
2,Week 2,2020-01-13,2020-01-19,0.0,0,0
3,Week 3,2020-01-20,2020-01-26,0.0,0,0
4,Week 4,2020-01-27,2020-02-02,34.0,0,0
5,Week 5,2020-02-03,2020-02-09,62.0,0,0
6,Week 6,2020-02-10,2020-02-16,43.0,0,0
7,Week 7,2020-02-17,2020-02-23,112.0,0,0
8,Week 8,2020-02-24,2020-03-01,317.0,0,0
9,Week 9,2020-03-02,2020-03-08,866.0,0,0
10,Week 10,2020-03-09,2020-03-15,3312.0,0,0
11,Week 11,2020-03-16,2020-03-22,5686.0,0,0
12,Week 12,2020-03-23,2020-03-29,6629.0,0,0
13,Week 13,2020-03-30,2020-04-05,9269.0,0,0
14,Week 14,2020-04-06,2020-04-12,9147.0,0,0
15,Week 15,2020-04-13,2020-04-19,10228.0,0,0
16,Week 16,2020-04-20,2020-04-26,12085.0,0,0
17,Week 17,2020-04-27,2020-05-03,13091.0,0,0
18,Week 18,2020-05-04,2020-05-10,14633.0,0,0
19,Week 19,2020-05-11,2020-05-17,15431.0,0,0
20,Week 20,2020-05-18,2020-05-24,16012.0,0,0
21,Week 21,2020-05-25,2020-05-31,20063.0,0,0
22,Week 22,2020-06-01,2020-06-07,22926.0,0,0
23,Week 23,2020-06-08,2020-06-14,27464.0,0,0
24,Week 24,2020-06-15,2020-06-21,42371.0,0,0
25,Week 25,2020-06-22,2020-06-28,58265.0,0,0
26,Week 26,2020-06-29,2020-07-05,61882.0,0,0
27,Week 27,2020-07-06,2020-07-12,72194.0,0,0
28,Week 28,2020-07-13,2020-07-19,68993.0,0,0
29,Week 29,2020-07-20,2020-07-26,57009.0,0,0
30,Week 30,2020-07-27,2020-08-02,48808.0,0,0
31,Week 31,2020-08-03,2020-08-09,41432.0,0,0
32,Week 32,2020-08-10,2020-08-16,35805.0,0,0
33,Week 33,2020-08-17,2020-08-23,30294.0,0,0
34,Week 34,2020-08-24,2020-08-30,27577.0,0,0
35,Week 35,2020-08-31,2020-09-06,24189.0,0,0
36,Week 36,2020-09-07,2020-09-13,21068.0,0,0
37,Week 37,2020-09-14,2020-09-20,23006.0,0,0
38,Week 38,2020-09-21,2020-09-27,22728.0,0,0
39,Week 39,2020-09-28,2020-10-04,23409.0,0,0
40,Week 40,2020-10-05,2020-10-11,24216.0,0,0
41,Week 41,2020-10-12,2020-10-18,25156.0,0,0
42,Week 42,2020-10-19,2020-10-25,28940.0,0,0
43,Week 43,2020-10-26,2020-11-01,34981.0,0,0
44,Week 44,2020-11-02,2020-11-08,53718.0,0,0
45,Week 45,2020-11-09,2020-11-15,75592.0,0,0
46,Week 46,2020-11-16,2020-11-22,108583.0,0,0
47,Week 47,2020-11-23,2020-11-29,123968.0,1,0
48,Week 48,2020-11-30,2020-12-06,207561.0,1,0
49,Week 49,2020-12-07,2020-12-13,257198.0,1,0
50,Week 50,2020-12-14,2020-12-20,281088.0,1,0
51,Week 51,2020-12-21,2020-12-27,244530.0,1,0
52,Week 52,2020-12-28,2021-01-03,290612.0,1,0
53,Week 53,2021-01-04,2021-01-10,299142.0,1,0
54,Week 54,2021-01-11,2021-01-17,209411.0,1,0
55,Week 55,2021-01-18,2021-01-24,141474.0,1,0
56,Week 56,2021-01-25,2021-01-31,98957.0,0,0
57,Week 57,2021-02-01,2021-02-07,70868.0,0,0
58,Week 58,2021-02-08,2021-02-14,45432.0,0,0
59,Week 59,2021-02-15,2021-02-21,30252.0,0,0
60,Week 60,2021-02-22,2021-02-28,24019.0,0,0
61,Week 61,2021-03-01,2021-03-07,20227.0,0,0
62,Week 62,2021-03-08,2021-03-14,17513.0,0,0
63,Week 63,2021-03-15,2021-03-21,15731.0,0,0
64,Week 64,2021-03-22,2021-03-28,15710.0,0,0
65,Week 65,2021-03-29,2021-04-04,15339.0,0,0
66,Week 66,2021-04-05,2021-04-11,15975.0,0,0
67,Week 67,2021-04-12,2021-04-18,14662.0,0,0
68,Week 68,2021-04-19,2021-04-25,12804.0,0,0
69,Week 69,2021-04-26,2021-05-02,11479.0,0,0
70,Week 70,2021-05-03,2021-05-09,10206.0,0,0
71,Week 71,2021-05-10,2021-05-16,8539.0,0,0
72,Week 72,2021-05-17,2021-05-23,7080.0,0,0
73,Week 73,2021-05-24,2021-05-30,6193.0,0,0
74,Week 74,2021-05-31,2021-06-06,5948.0,0,0
75,Week 75,2021-06-07,2021-06-13,6127.0,0,0
76,Week 76,2021-06-14,2021-06-20,6777.0,0,0
77,Week 77,2021-06-21,2021-06-27,8895.0,0,0
78,Week 78,2021-06-28,2021-07-04,13253.0,0,0
79,Week 79,2021-07-05,2021-07-11,23587.0,0,0
80,Week 80,2021-07-12,2021-07-18,37645.0,0,0
81,Week 81,2021-07-19,2021-07-25,55199.0,0,0
82,Week 82,2021-07-26,2021-08-01,74623.0,0,0
83,Week 83,2021-08-02,2021-08-08,87736.0,0,0
84,Week 84,2021-08-09,2021-08-15,94048.0,0,0
85,Week 85,2021-08-16,2021-08-22,90336.0,0,0
86,Week 86,2021-08-23,2021-08-29,80901.0,0,0
87,Week 87,2021-08-30,2021-09-05,71590.0,0,0
88,Week 88,2021-09-06,2021-09-12,61453.0,0,0
89,Week 89,2021-09-13,2021-09-19,52983.0,0,0
90,Week 90,2021-09-20,2021-09-26,44441.0,0,0
91,Week 91,2021-09-27,2021-10-03,39331.0,0,0
92,Week 92,2021-10-04,2021-10-10,36343.0,0,0
93,Week 93,2021-10-11,2021-10-17,35170.0,0,0
94,Week 94,2021-10-18,2021-10-24,39329.0,0,0
95,Week 95,2021-10-25,2021-10-31,39798.0,0,0
96,Week 96,2021-11-01,2021-11-07,39145.0,0,0
97,Week 97,2021-11-08,2021-11-14,34363.0,0,0
98,Week 98,2021-11-15,2021-11-21,32668.0,0,0
99,Week 99,2021-11-22,2021-11-28,30258.0,0,0
100,Week 100,2021-11-29,2021-12-05,43911.0,0,0
101,Week 101,2021-12-06,2021-12-12,41121.0,0,1
102,Week 102,2021-12-13,2021-12-19,69973.0,0,1
103,Week 103,2021-12-20,2021-12-26,189304.0,1,1
104,Week 104,2021-12-27,2022-01-02,485878.0,1,1
105,Week 105,2022-01-03,2022-01-09,866000.0,1,1
106,Week 106,2022-01-10,2022-01-16,722468.0,1,1
107,Week 107,2022-01-17,2022-01-23,538105.0,1,1
108,Week 108,2022-01-24,2022-01-30,302269.0,1,1
109,Week 109,2022-01-31,2022-02-06,165429.0,1,1
110,Week 110,2022-02-07,2022-02-13,95512.0,0,1
111,Week 111,2022-02-14,2022-02-20,55305.0,0,1
112,Week 112,2022-02-21,2022-02-27,32722.0,0,1
113,Week 113,2022-02-28,2022-03-06,24269.0,0,1
114,Week 114,2022-03-07,2022-03-13,17918.0,0,1
115,Week 115,2022-03-14,2022-03-20,14841.0,0,1
116,Week 116,2022-03-21,2022-03-27,15264.0,0,1
117,Week 117,2022-03-28,2022-04-03,16783.0,0,1
118,Week 118,2022-04-04,2022-04-10,20862.0,0,1
119,Week 119,2022-04-11,2022-04-17,25039.0,0,1
120,Week 120,2022-04-18,2022-04-24,35717.0,0,1
121,Week 121,2022-04-25,2022-05-01,46405.0,0,1
122,Week 122,2022-05-02,2022-05-08,60892.0,0,1
123,Week 123,2022-05-09,2022-05-15,75877.0,0,1
124,Week 124,2022-05-16,2022-05-22,95847.0,0,1
125,Week 125,2022-05-23,2022-05-29,101390.0,0,1
126,Week 126,2022-05-30,2022-06-05,108297.0,0,1
127,Week 127,2022-06-06,2022-06-12,107881.0,0,1
128,Week 128,2022-06-13,2022-06-19,101869.0,0,1
129,Week 129,2022-06-20,2022-06-26,111623.0,0,1
130,Week 130,2022-06-27,2022-07-03,121223.0,1,1
131,Week 131,2022-07-04,2022-07-10,127171.0,1,1
132,Week 132,2022-07-11,2022-07-17,131269.0,1,1
133,Week 133,2022-07-18,2022-07-24,120428.0,1,1
134,Week 134,2022-07-25,2022-07-31,103366.0,0,1
135,Week 135,2022-08-01,2022-08-07,86701.0,0,1
136,Week 136,2022-08-08,2022-08-14,71759.0,0,1
137,Week 137,2022-08-15,2022-08-21,62527.0,0,1
138,Week 138,2022-08-22,2022-08-28,53967.0,0,1
139,Week 139,2022-08-29,2022-09-04,42530.0,0,1
140,Week 140,2022-09-05,2022-09-11,34139.0,0,1
141,Week 141,2022-09-12,2022-09-18,28720.0,0,1
142,Week 142,2022-09-19,2022-09-25,25635.0,0,1
143,Week 143,2022-09-26,2022-10-02,24266.0,0,1
144,Week 144,2022-10-03,2022-10-09,20622.0,0,1
145,Week 145,2022-10-10,2022-10-16,18769.0,0,1
146,Week 146,2022-10-17,2022-10-23,18696.0,0,1
147,Week 147,2022-10-24,2022-10-30,20208.0,0,1
148,Week 148,2022-10-31,2022-11-06,25675.0,0,1
149,Week 149,2022-11-07,2022-11-13,29815.0,0,1
150,Week 150,2022-11-14,2022-11-20,38812.0,0,1
151,Week 151,2022-11-21,2022-11-27,48508.0,0,1
152,Week 152,2022-11-28,2022-12-04,69482.0,0,1
153,Week 153,2022-12-05,2022-12-11,58439.0,0,1
154,Week 154,2022-12-12,2022-12-18,52264.0,0,1
155,Week 155,2022-12-19,2022-12-25,48100.0,0,1
156,Week 156,2022-12-26,2023-01-01,47390.0,0,1
157,Week 157,2023-01-02,2023-01-08,34938.0,0,1
158,Week 158,2023-01-09,2023-01-15,22604.0,0,1
159,Week 159,2023-01-16,2023-01-22,18202.0,0,1
160,Week 160,2023-01-23,2023-01-29,19097.0,0,1
161,Week 161,2023-01-30,2023-02-05,21233.0,0,1
162,Week 162,2023-02-06,2023-02-12,22117.0,0,1
163,Week 163,2023-02-13,2023-02-19,20821.0,0,1
164,Week 164,2023-02-20,2023-02-26,19939.0,0,1
165,Week 165,2023-02-27,2023-03-05,17758.0,0,1
166,Week 166,2023-03-06,2023-03-12,16293.0,0,0
167,Week 167,2023-03-13,2023-03-19,13415.0,0,0
168,Week 168,2023-03-20,2023-03-26,10769.0,0,0
169,Week 169,2023-03-27,2023-04-02,10288.0,0,0
170,Week 170,2023-04-03,2023-04-09,9711.0,0,0
171,Week 171,2023-04-10,2023-04-16,9826.0,0,0
172,Week 172,2023-04-17,2023-04-23,8603.0,0,0
173,Week 173,2023-04-24,2023-04-30,8139.0,0,0
174,Week 174,2023-05-01,2023-05-07,7222.0,0,0
175,Week 175,2023-05-08,2023-05-14,7295.0,0,0
176,Week 176,2023-05-15,2023-05-21,6506.0,0,0
177,Week 177,2023-05-22,2023-05-28,5661.0,0,0
178,Week 178,2023-05-29,2023-06-04,5403.0,0,0
179,Week 179,2023-06-05,2023-06-11,5128.0,0,0
180,Week 180,2023-06-12,2023-06-18,5013.0,0,0
181,Week 181,2023-06-19,2023-06-25,5022.0,0,0
182,Week 182,2023-06-26,2023-07-02,5414.0,0,0
183,Week 183,2023-07-03,2023-07-09,5687.0,0,0
184,Week 184,2023-07-10,2023-07-16,6604.0,0,0
185,Week 185,2023-07-17,2023-07-23,7327.0,0,0
186,Week 186,2023-07-24,2023-07-30,8900.0,0,0
187,Week 187,2023-07-31,2023-08-06,11371.0,0,0
188,Week 188,2023-08-07,2023-08-13,13928.0,0,0
189,Week 189,2023-08-14,2023-08-20,16780.0,0,0
190,Week 190,2023-08-21,2023-08-27,18470.0,0,0
191,Week 191,2023-08-28,2023-09-03,19289.0,0,0
192,Week 192,2023-09-04,2023-09-10,17201.0,0,0
193,Week 193,2023-09-11,2023-09-17,14720.0,0,0
194,Week 194,2023-09-18,2023-09-24,11766.0,0,0
195,Week 195,2023-09-25,2023-10-01,9829.0,0,0
196,Week 196,2023-10-02,2023-10-08,8057.0,0,0
197,Week 197,2023-10-09,2023-10-15,7857.0,0,0
198,Week 198,2023-10-16,2023-10-22,7411.0,0,0
199,Week 199,2023-10-23,2023-10-29,5665.0,0,0
200,Week 200,2023-10-30,2023-11-05,448.0,0,0
201,Week 201,2023-11-06,2023-11-12,0.0,0,0
202,Week 202,2023-11-13,2023-11-19,0.0,0,0
203,Week 203,2023-11-20,2023-11-26,0.0,0,0
204,Week 204,2023-11-27,2023-12-03,0.0,0,0
205,Week 205,2023-12-04,2023-12-10,0.0,0,0
206,Week 206,2023-12-11,2023-12-17,0.0,0,0
207,Week 207,2023-12-18,2023-12-24,0.0,0,0
208,Week 208,2023-12-25,2023-12-31,0.0,0,0
