Week_Number,total,Month_Number,month_total
17,1,Month 5,1
34,1,Month 9,1
41,1,Month 11,4
43,1,Month 11,4
44,2,Month 11,4
45,5,Month 12,20
46,1,Month 12,20
47,7,Month 12,20
48,7,Month 12,20
49,19,Month 13,61
50,11,Month 13,61
51,13,Month 13,61
52,18,Month 13,61
53,15,Month 14,47
54,12,Month 14,47
55,10,Month 14,47
56,10,Month 14,47
57,11,Month 15,62
58,15,Month 15,62
59,11,Month 15,62
60,25,Month 15,62
61,4,Month 16,46
62,11,Month 16,46
63,23,Month 16,46
64,8,Month 16,46
65,11,Month 17,52
66,4,Month 17,52
67,4,Month 17,52
68,33,Month 17,52
69,51,Month 18,57
71,3,Month 18,57
72,3,Month 18,57
88,9,Month 22,9
89,7,Month 23,9
90,2,Month 23,9