Facility Name,Week_Number,Positive_Count,Negative_Count,Overall Count,Prison Count,Overall Positive Ratio,Overall Negative Ratio,Prison Positive Ratio,Prison Negative Ratio,Type,positive_ratio,negative_ratio
Donovan,70,1,1,5,2,0.2,0.2,0.5,0.5,Prison,0.333333333,1
NewFolsom,70,0,1,5,1,0,0.2,0,1,Prison,0.333333333,1
Solano,70,0,1,5,1,0,0.2,0,1,Prison,0.333333333,1
NewFolsom,98,0,1,7,1,0,0.142857143,0,1,Prison,0,1
NewFolsom,106,0,1,3,1,0,0.333333333,0,1,Prison,0,1
Vacaville,106,0,1,3,1,0,0.333333333,0,1,Prison,0,1
Solano,87,0,1,17,1,0,0.058823529,0,1,Prison,0,1
Avenal,89,0,3,77,3,0,0.038961039,0,1,Prison,2.25,3.5
Chowchilla,89,0,1,77,1,0,0.012987013,0,1,Prison,2.25,3.5
Fresno_Mendota,89,0,1,77,1,0,0.012987013,0,1,Prison,2.25,3.5
Merced_USPAtwater,89,9,9,77,18,0.116883117,0.116883117,0.5,0.5,Prison,2.25,3.5
Avenal,43,0,1,4,1,0,0.25,0,1,Prison,0,1
Lancaster,43,0,1,4,1,0,0.25,0,1,Prison,0,1
SanQuentin,43,0,1,4,1,0,0.25,0,1,Prison,0,1
Soledad,43,0,1,4,1,0,0.25,0,1,Prison,0,1
Avenal,44,0,3,12,3,0,0.25,0,1,Prison,0,2.4
Chuckawalla,44,0,5,12,5,0,0.416666667,0,1,Prison,0,2.4
Corcoran,44,0,1,12,1,0,0.083333333,0,1,Prison,0,2.4
Norco,44,0,1,12,1,0,0.083333333,0,1,Prison,0,2.4
SanQuentin,44,0,2,12,2,0,0.166666667,0,1,Prison,0,2.4
Avenal,45,0,3,12,3,0,0.25,0,1,Prison,0,1.714285714
Chuckawalla,45,0,2,12,2,0,0.166666667,0,1,Prison,0,1.714285714
Ironwood,45,0,1,12,1,0,0.083333333,0,1,Prison,0,1.714285714
Lancaster,45,0,1,12,1,0,0.083333333,0,1,Prison,0,1.714285714
Mule Creek,45,0,2,12,2,0,0.166666667,0,1,Prison,0,1.714285714
SanQuentin,45,0,2,12,2,0,0.166666667,0,1,Prison,0,1.714285714
Vacaville,45,0,1,12,1,0,0.083333333,0,1,Prison,0,1.714285714
Avenal,63,0,1,24,1,0,0.041666667,0,1,Prison,0.214285714,1.5
CIW,63,0,1,24,1,0,0.041666667,0,1,Prison,0.214285714,1.5
CMC,63,0,1,24,1,0,0.041666667,0,1,Prison,0.214285714,1.5
Donovan,63,1,0,24,1,0.041666667,0,1,0,Prison,0.214285714,1.5
High Desert,63,1,0,24,1,0.041666667,0,1,0,Prison,0.214285714,1.5
Jamestown,63,0,4,24,4,0,0.166666667,0,1,Prison,0.214285714,1.5
Lancaster,63,0,1,24,1,0,0.041666667,0,1,Prison,0.214285714,1.5
Pleasant Valley,63,0,1,24,1,0,0.041666667,0,1,Prison,0.214285714,1.5
SalinasValley,63,0,1,24,1,0,0.041666667,0,1,Prison,0.214285714,1.5
Solano,63,0,1,24,1,0,0.041666667,0,1,Prison,0.214285714,1.5
Stockton,63,1,3,24,4,0.041666667,0.125,0.25,0.75,Prison,0.214285714,1.5
Tracy,63,0,2,24,2,0,0.083333333,0,1,Prison,0.214285714,1.5
Valley State,63,0,2,24,2,0,0.083333333,0,1,Prison,0.214285714,1.5
Wasco,63,0,3,24,3,0,0.125,0,1,Prison,0.214285714,1.5
Avenal,72,0,1,8,1,0,0.125,0,1,Prison,0,1.4
Corcoran,72,0,1,8,1,0,0.125,0,1,Prison,0,1.4
Mule Creek,72,0,3,8,3,0,0.375,0,1,Prison,0,1.4
PelicanBay,72,0,1,8,1,0,0.125,0,1,Prison,0,1.4
SalinasValley,72,0,1,8,1,0,0.125,0,1,Prison,0,1.4
CIW,46,0,1,3,1,0,0.333333333,0,1,Prison,0,1
Chuckawalla,46,0,1,3,1,0,0.333333333,0,1,Prison,0,1
Ironwood,46,0,1,3,1,0,0.333333333,0,1,Prison,0,1
CIW,48,0,2,13,2,0,0.153846154,0,1,Prison,0,1.444444444
Centinela,48,0,1,13,1,0,0.076923077,0,1,Prison,0,1.444444444
Chino,48,0,1,13,1,0,0.076923077,0,1,Prison,0,1.444444444
Chowchilla,48,0,1,13,1,0,0.076923077,0,1,Prison,0,1.444444444
Chuckawalla,48,0,1,13,1,0,0.076923077,0,1,Prison,0,1.444444444
Donovan,48,0,2,13,2,0,0.153846154,0,1,Prison,0,1.444444444
Lancaster,48,0,1,13,1,0,0.076923077,0,1,Prison,0,1.444444444
SanQuentin,48,0,1,13,1,0,0.076923077,0,1,Prison,0,1.444444444
Tehachapi,48,0,3,13,3,0,0.230769231,0,1,Prison,0,1.444444444
CIW,49,0,2,23,2,0,0.086956522,0,1,Prison,0.142857143,3.142857143
Chino,49,1,3,23,4,0.043478261,0.130434783,0.25,0.75,Prison,0.142857143,3.142857143
Chowchilla,49,0,1,23,1,0,0.043478261,0,1,Prison,0.142857143,3.142857143
Chuckawalla,49,0,2,23,2,0,0.086956522,0,1,Prison,0.142857143,3.142857143
Lancaster,49,0,1,23,1,0,0.043478261,0,1,Prison,0.142857143,3.142857143
Mule Creek,49,0,1,23,1,0,0.043478261,0,1,Prison,0.142857143,3.142857143
Tehachapi,49,0,12,23,12,0,0.52173913,0,1,Prison,0.142857143,3.142857143
CIW,50,0,2,17,2,0,0.117647059,0,1,Prison,0.142857143,2.285714286
CSATF,50,1,1,17,2,0.058823529,0.058823529,0.5,0.5,Prison,0.142857143,2.285714286
Chino,50,0,2,17,2,0,0.117647059,0,1,Prison,0.142857143,2.285714286
Chowchilla,50,0,1,17,1,0,0.058823529,0,1,Prison,0.142857143,2.285714286
Solano,50,0,3,17,3,0,0.176470588,0,1,Prison,0.142857143,2.285714286
Soledad,50,0,2,17,2,0,0.117647059,0,1,Prison,0.142857143,2.285714286
Tehachapi,50,0,5,17,5,0,0.294117647,0,1,Prison,0.142857143,2.285714286
CIW,51,0,1,15,1,0,0.066666667,0,1,Prison,0.111111111,1.555555556
Chino,51,0,3,15,3,0,0.2,0,1,Prison,0.111111111,1.555555556
Chowchilla,51,0,3,15,3,0,0.2,0,1,Prison,0.111111111,1.555555556
Corcoran,51,0,1,15,1,0,0.066666667,0,1,Prison,0.111111111,1.555555556
SanQuentin,51,1,1,15,2,0.066666667,0.066666667,0.5,0.5,Prison,0.111111111,1.555555556
Solano,51,0,2,15,2,0,0.133333333,0,1,Prison,0.111111111,1.555555556
Soledad,51,0,1,15,1,0,0.066666667,0,1,Prison,0.111111111,1.555555556
Tehachapi,51,0,1,15,1,0,0.066666667,0,1,Prison,0.111111111,1.555555556
Vacaville,51,0,1,15,1,0,0.066666667,0,1,Prison,0.111111111,1.555555556
CIW,52,0,1,18,1,0,0.055555556,0,1,Prison,0.25,2
CSATF,52,0,1,18,1,0,0.055555556,0,1,Prison,0.25,2
Chino,52,0,1,18,1,0,0.055555556,0,1,Prison,0.25,2
Chowchilla,52,0,1,18,1,0,0.055555556,0,1,Prison,0.25,2
Corcoran,52,0,1,18,1,0,0.055555556,0,1,Prison,0.25,2
Ironwood,52,1,1,18,2,0.055555556,0.055555556,0.5,0.5,Prison,0.25,2
Soledad,52,1,8,18,9,0.055555556,0.444444444,0.111111111,0.888888889,Prison,0.25,2
Tehachapi,52,0,2,18,2,0,0.111111111,0,1,Prison,0.25,2
CIW,64,0,1,12,1,0,0.083333333,0,1,Prison,0.222222222,1.111111111
CSATF,64,1,0,12,1,0.083333333,0,1,0,Prison,0.222222222,1.111111111
Calipatria,64,0,1,12,1,0,0.083333333,0,1,Prison,0.222222222,1.111111111
Chowchilla,64,0,1,12,1,0,0.083333333,0,1,Prison,0.222222222,1.111111111
KernValley,64,0,1,12,1,0,0.083333333,0,1,Prison,0.222222222,1.111111111
Pleasant Valley,64,0,2,12,2,0,0.166666667,0,1,Prison,0.222222222,1.111111111
Solano,64,0,2,12,2,0,0.166666667,0,1,Prison,0.222222222,1.111111111
Soledad,64,0,1,12,1,0,0.083333333,0,1,Prison,0.222222222,1.111111111
Valley State,64,1,1,12,2,0.083333333,0.083333333,0.5,0.5,Prison,0.222222222,1.111111111
CMC,55,0,1,14,1,0,0.071428571,0,1,Prison,0.090909091,1.181818182
CSATF,55,1,1,14,2,0.071428571,0.071428571,0.5,0.5,Prison,0.090909091,1.181818182
Calipatria,55,0,1,14,1,0,0.071428571,0,1,Prison,0.090909091,1.181818182
Centinela,55,0,1,14,1,0,0.071428571,0,1,Prison,0.090909091,1.181818182
Chowchilla,55,0,1,14,1,0,0.071428571,0,1,Prison,0.090909091,1.181818182
Ironwood,55,0,1,14,1,0,0.071428571,0,1,Prison,0.090909091,1.181818182
Norco,55,0,1,14,1,0,0.071428571,0,1,Prison,0.090909091,1.181818182
SanQuentin,55,0,1,14,1,0,0.071428571,0,1,Prison,0.090909091,1.181818182
Solano,55,0,1,14,1,0,0.071428571,0,1,Prison,0.090909091,1.181818182
Soledad,55,0,2,14,2,0,0.142857143,0,1,Prison,0.090909091,1.181818182
Tehachapi,55,0,2,14,2,0,0.142857143,0,1,Prison,0.090909091,1.181818182
CMC,56,3,3,11,6,0.272727273,0.272727273,0.5,0.5,Prison,1,1.75
Calipatria,56,0,2,11,2,0,0.181818182,0,1,Prison,1,1.75
Ironwood,56,1,0,11,1,0.090909091,0,1,0,Prison,1,1.75
Tracy,56,0,2,11,2,0,0.181818182,0,1,Prison,1,1.75
CMC,58,0,7,16,7,0,0.4375,0,1,Prison,0.142857143,2.142857143
Calipatria,58,0,2,16,2,0,0.125,0,1,Prison,0.142857143,2.142857143
NorthKern,58,1,0,16,1,0.0625,0,1,0,Prison,0.142857143,2.142857143
Pleasant Valley,58,0,3,16,3,0,0.1875,0,1,Prison,0.142857143,2.142857143
Soledad,58,0,1,16,1,0,0.0625,0,1,Prison,0.142857143,2.142857143
Tehachapi,58,0,1,16,1,0,0.0625,0,1,Prison,0.142857143,2.142857143
Valley State,58,0,1,16,1,0,0.0625,0,1,Prison,0.142857143,2.142857143
CMC,59,0,3,11,3,0,0.272727273,0,1,Prison,0.142857143,1.428571429
Delano,59,0,3,11,3,0,0.272727273,0,1,Prison,0.142857143,1.428571429
High Desert,59,1,0,11,1,0.090909091,0,1,0,Prison,0.142857143,1.428571429
Norco,59,0,1,11,1,0,0.090909091,0,1,Prison,0.142857143,1.428571429
Pleasant Valley,59,0,1,11,1,0,0.090909091,0,1,Prison,0.142857143,1.428571429
Valley State,59,0,1,11,1,0,0.090909091,0,1,Prison,0.142857143,1.428571429
Wasco,59,0,1,11,1,0,0.090909091,0,1,Prison,0.142857143,1.428571429
CMC,60,0,6,26,6,0,0.230769231,0,1,Prison,0.444444444,2.444444444
Calipatria,60,0,2,26,2,0,0.076923077,0,1,Prison,0.444444444,2.444444444
Centinela,60,0,1,26,1,0,0.038461538,0,1,Prison,0.444444444,2.444444444
High Desert,60,0,1,26,1,0,0.038461538,0,1,Prison,0.444444444,2.444444444
Pleasant Valley,60,2,2,26,4,0.076923077,0.076923077,0.5,0.5,Prison,0.444444444,2.444444444
Solano,60,1,1,26,2,0.038461538,0.038461538,0.5,0.5,Prison,0.444444444,2.444444444
Tracy,60,0,3,26,3,0,0.115384615,0,1,Prison,0.444444444,2.444444444
Valley State,60,0,3,26,3,0,0.115384615,0,1,Prison,0.444444444,2.444444444
Wasco,60,1,3,26,4,0.038461538,0.115384615,0.25,0.75,Prison,0.444444444,2.444444444
CMC,68,0,1,51,1,0,0.019607843,0,1,Prison,0.214285714,2.357142857
Centinela,68,0,1,51,1,0,0.019607843,0,1,Prison,0.214285714,2.357142857
Corcoran,68,0,1,51,1,0,0.019607843,0,1,Prison,0.214285714,2.357142857
Delano,68,0,1,51,1,0,0.019607843,0,1,Prison,0.214285714,2.357142857
Donovan,68,1,4,51,5,0.019607843,0.078431373,0.2,0.8,Prison,0.214285714,2.357142857
Jamestown,68,0,1,51,1,0,0.019607843,0,1,Prison,0.214285714,2.357142857
Mule Creek,68,0,3,51,3,0,0.058823529,0,1,Prison,0.214285714,2.357142857
NewFolsom,68,0,8,51,8,0,0.156862745,0,1,Prison,0.214285714,2.357142857
PelicanBay,68,1,2,51,3,0.019607843,0.039215686,0.333333333,0.666666667,Prison,0.214285714,2.357142857
SalinasValley,68,0,7,51,7,0,0.137254902,0,1,Prison,0.214285714,2.357142857
Stockton,68,0,1,51,1,0,0.019607843,0,1,Prison,0.214285714,2.357142857
Susanville,68,1,1,51,2,0.019607843,0.019607843,0.5,0.5,Prison,0.214285714,2.357142857
Tehachapi,68,0,1,51,1,0,0.019607843,0,1,Prison,0.214285714,2.357142857
Wasco,68,0,1,51,1,0,0.019607843,0,1,Prison,0.214285714,2.357142857
CSATF,47,0,1,10,1,0,0.1,0,1,Prison,0,1.285714286
Centinela,47,0,1,10,1,0,0.1,0,1,Prison,0,1.285714286
Chowchilla,47,0,1,10,1,0,0.1,0,1,Prison,0,1.285714286
Chuckawalla,47,0,3,10,3,0,0.3,0,1,Prison,0,1.285714286
Soledad,47,0,1,10,1,0,0.1,0,1,Prison,0,1.285714286
Tehachapi,47,0,1,10,1,0,0.1,0,1,Prison,0,1.285714286
Vacaville,47,0,1,10,1,0,0.1,0,1,Prison,0,1.285714286
CSATF,53,1,3,16,4,0.0625,0.1875,0.25,0.75,Prison,0.666666667,2
Donovan,53,0,3,16,3,0,0.1875,0,1,Prison,0.666666667,2
Folsom,53,0,1,16,1,0,0.0625,0,1,Prison,0.666666667,2
Mule Creek,53,1,0,16,1,0.0625,0,1,0,Prison,0.666666667,2
Soledad,53,2,4,16,6,0.125,0.25,0.333333333,0.666666667,Prison,0.666666667,2
Vacaville,53,0,1,16,1,0,0.0625,0,1,Prison,0.666666667,2
CSATF,54,0,5,15,5,0,0.333333333,0,1,Prison,0,2.142857143
Chowchilla,54,0,1,15,1,0,0.066666667,0,1,Prison,0,2.142857143
Donovan,54,0,2,15,2,0,0.133333333,0,1,Prison,0,2.142857143
Mule Creek,54,0,3,15,3,0,0.2,0,1,Prison,0,2.142857143
Soledad,54,0,2,15,2,0,0.133333333,0,1,Prison,0,2.142857143
Tehachapi,54,0,1,15,1,0,0.066666667,0,1,Prison,0,2.142857143
Vacaville,54,0,1,15,1,0,0.066666667,0,1,Prison,0,2.142857143
CSATF,57,0,1,11,1,0,0.090909091,0,1,Prison,0.166666667,1.666666667
Calipatria,57,1,5,11,6,0.090909091,0.454545455,0.166666667,0.833333333,Prison,0.166666667,1.666666667
Chowchilla,57,0,1,11,1,0,0.090909091,0,1,Prison,0.166666667,1.666666667
Norco,57,0,1,11,1,0,0.090909091,0,1,Prison,0.166666667,1.666666667
Pleasant Valley,57,0,1,11,1,0,0.090909091,0,1,Prison,0.166666667,1.666666667
Tehachapi,57,0,1,11,1,0,0.090909091,0,1,Prison,0.166666667,1.666666667
CSATF,65,0,1,11,1,0,0.090909091,0,1,Prison,0.111111111,1.111111111
Calipatria,65,0,1,11,1,0,0.090909091,0,1,Prison,0.111111111,1.111111111
Centinela,65,0,1,11,1,0,0.090909091,0,1,Prison,0.111111111,1.111111111
Donovan,65,0,1,11,1,0,0.090909091,0,1,Prison,0.111111111,1.111111111
Norco,65,0,1,11,1,0,0.090909091,0,1,Prison,0.111111111,1.111111111
Solano,65,0,1,11,1,0,0.090909091,0,1,Prison,0.111111111,1.111111111
Stockton,65,0,1,11,1,0,0.090909091,0,1,Prison,0.111111111,1.111111111
Valley State,65,1,2,11,3,0.090909091,0.181818182,0.333333333,0.666666667,Prison,0.111111111,1.111111111
Wasco,65,0,1,11,1,0,0.090909091,0,1,Prison,0.111111111,1.111111111
CaliforniaCity,69,1,0,58,1,0.017241379,0,1,0,Prison,0.384615385,3.692307692
Corcoran,69,0,1,58,1,0,0.017241379,0,1,Prison,0.384615385,3.692307692
Donovan,69,3,7,58,10,0.051724138,0.120689655,0.3,0.7,Prison,0.384615385,3.692307692
Folsom,69,0,1,58,1,0,0.017241379,0,1,Prison,0.384615385,3.692307692
KernValley,69,0,10,58,10,0,0.172413793,0,1,Prison,0.384615385,3.692307692
Mule Creek,69,0,3,58,3,0,0.051724138,0,1,Prison,0.384615385,3.692307692
NewFolsom,69,0,6,58,6,0,0.103448276,0,1,Prison,0.384615385,3.692307692
PelicanBay,69,0,1,58,1,0,0.017241379,0,1,Prison,0.384615385,3.692307692
SalinasValley,69,1,3,58,4,0.017241379,0.051724138,0.25,0.75,Prison,0.384615385,3.692307692
Solano,69,0,1,58,1,0,0.017241379,0,1,Prison,0.384615385,3.692307692
Susanville,69,0,5,58,5,0,0.086206897,0,1,Prison,0.384615385,3.692307692
Vacaville,69,0,8,58,8,0,0.137931034,0,1,Prison,0.384615385,3.692307692
Valley State,69,0,2,58,2,0,0.034482759,0,1,Prison,0.384615385,3.692307692
CaliforniaCity,74,0,1,181,1,0,0.005524862,0,1,Prison,0,1
CaliforniaCity,75,1,0,147,1,0.006802721,0,1,0,Prison,0.5,1
NewFolsom,75,0,2,147,2,0,0.013605442,0,1,Prison,0.5,1
CaliforniaCity,76,0,2,110,2,0,0.018181818,0,1,Prison,0,2
Calipatria,62,0,1,12,1,0,0.083333333,0,1,Prison,0.285714286,1.428571429
Chino,62,0,1,12,1,0,0.083333333,0,1,Prison,0.285714286,1.428571429
High Desert,62,0,1,12,1,0,0.083333333,0,1,Prison,0.285714286,1.428571429
Jamestown,62,0,2,12,2,0,0.166666667,0,1,Prison,0.285714286,1.428571429
Pleasant Valley,62,1,1,12,2,0.083333333,0.083333333,0.5,0.5,Prison,0.285714286,1.428571429
Solano,62,1,3,12,4,0.083333333,0.25,0.25,0.75,Prison,0.285714286,1.428571429
Tracy,62,0,1,12,1,0,0.083333333,0,1,Prison,0.285714286,1.428571429
Calipatria,66,0,1,4,1,0,0.25,0,1,Prison,0.25,0.75
Chowchilla,66,1,0,4,1,0.25,0,1,0,Prison,0.25,0.75
SalinasValley,66,0,1,4,1,0,0.25,0,1,Prison,0.25,0.75
Soledad,66,0,1,4,1,0,0.25,0,1,Prison,0.25,0.75
Centinela,67,0,1,12,1,0,0.083333333,0,1,Prison,0.5,0.75
NewFolsom,67,0,1,12,1,0,0.083333333,0,1,Prison,0.5,0.75
Soledad,67,1,0,12,1,0.083333333,0,1,0,Prison,0.5,0.75
Valley State,67,1,1,12,2,0.083333333,0.083333333,0.5,0.5,Prison,0.5,0.75
Chino,17,0,1,1,1,0,1,0,1,Prison,0,1
Chino,34,1,0,1,1,1,0,1,0,Prison,1,0
Chino,109,1,4,5,5,0.2,0.8,0.2,0.8,Prison,1,4
Chowchilla,71,0,1,6,1,0,0.166666667,0,1,Prison,0,1.666666667
KernValley,71,0,3,6,3,0,0.5,0,1,Prison,0,1.666666667
NewFolsom,71,0,1,6,1,0,0.166666667,0,1,Prison,0,1.666666667
Corcoran,86,0,1,5,1,0,0.2,0,1,Prison,0,1
Norco,86,0,1,5,1,0,0.2,0,1,Prison,0,1
Donovan,39,0,1,1,1,0,1,0,1,Prison,0,1
Vacaville,85,0,1,2,1,0,0.5,0,1,Prison,0,1
Merced_USPAtwater,88,9,18,58,27,0.155172414,0.310344828,0.333333333,0.666666667,Prison,4.5,9.5
PelicanBay,88,0,1,58,1,0,0.017241379,0,1,Prison,4.5,9.5
PelicanBay,90,0,1,14,1,0,0.071428571,0,1,Prison,0,1.333333333
Stockton,90,0,1,14,1,0,0.071428571,0,1,Prison,0,1.333333333
USP_Victorville,90,0,2,14,2,0,0.142857143,0,1,Prison,0,1.333333333
PelicanBay,92,0,1,24,1,0,0.041666667,0,1,Prison,0,1
High Desert,61,0,1,4,1,0,0.25,0,1,Prison,0,1.333333333
Valley State,61,0,2,4,2,0,0.5,0,1,Prison,0,1.333333333
Wasco,61,0,1,4,1,0,0.25,0,1,Prison,0,1.333333333
Kern_GSAnnex,84,0,4,5,4,0,0.8,0,1,Prison,0,4
Mule Creek,73,0,1,1,1,0,1,0,1,Prison,0,1
NewFolsom,99,0,1,1,1,0,1,0,1,Prison,0,1
NewFolsom,110,0,2,6,2,0,0.333333333,0,1,Prison,0,2
Solano,31,0,1,1,1,0,1,0,1,Prison,0,1
Solano,41,0,1,2,1,0,0.5,0,1,Prison,0,1
Vacaville,41,0,1,2,1,0,0.5,0,1,Prison,0,1
Vacaville,104,0,1,5,1,0,0.2,0,1,Prison,0,1
Vacaville,79,0,1,1,1,0,1,0,1,Prison,0,1